time_sec,joint_rShoulderPitch,joint_rShoulderRoll,joint_rShoulderYaw,joint_rElbow,joint_rWristRoll,joint_rWristPitch,joint_lShoulderPitch,joint_lShoulderRoll,joint_lShoulderYaw,joint_lElbow,joint_lWristRoll,joint_lWristPitch
3.466667,-0.03490659,-1.168598,0.1745329,-1.29855,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08597005,-1.307832,-0.4363326,-0.1745329
3.5,-0.03490659,-1.168598,0.1745329,-1.298088,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08628724,-1.310221,-0.4363326,-0.1745329
3.533333,-0.03490659,-1.168598,0.1745329,-1.297568,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08656785,-1.312777,-0.4363326,-0.1745329
3.566667,-0.03490659,-1.168598,0.1745329,-1.297001,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08680745,-1.315432,-0.4363326,-0.1745329
3.6,-0.03490659,-1.168598,0.1745329,-1.296402,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08700158,-1.318117,-0.4363326,-0.1745329
3.633333,-0.03490659,-1.168598,0.1745329,-1.295784,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08714577,-1.320763,-0.4363326,-0.1745329
3.666667,-0.03490659,-1.168598,0.1745329,-1.295161,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08723556,-1.323302,-0.4363326,-0.1745329
3.7,-0.03490659,-1.168598,0.1745329,-1.294546,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726646,-1.325665,-0.4363325,-0.1745329
3.733333,-0.03490659,-1.168598,0.1745329,-1.293953,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.327782,-0.4363325,-0.1745329
3.766667,-0.0349066,-1.168598,0.1745329,-1.293395,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.329587,-0.4363325,-0.1745329
